ZipCodes,VulnerabilityScore
38103.0,0.255412575843357
38002.0,0.1753453665716329
38017.0,0.15735918699900703
38016.0,0.3332201572053992
38018.0,0.26710066207095423
38028.0,0.23279160899646562
38060.0,0.3255177202022083
38066.0,0.42164054907157444
38104.0,0.37886076262223106
38105.0,0.4742534575109637
38106.0,0.4912155682438172
38107.0,0.3605562677358398
38108.0,0.6807541656159668
38109.0,0.4601790485997285
38111.0,0.5229190882576971
38112.0,0.5553498194551838
38117.0,0.43659098510869243
38125.0,0.21950355810398478
38126.0,0.5089654880333327
38127.0,0.4818313722363613
38128.0,0.38639207900888134
38133.0,0.2659983753864807
38134.0,0.3344029029575756
38135.0,0.2531340213985491
38138.0,0.5980843424417496
38139.0,0.257301440316536
38141.0,0.3163653057797095
